StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q11,Q12,Q15_1,Q15_2,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q18_1,Q18_2,Q18_3,Q21,Q22,user_id,cond,Create New Field or Choose From Dropdown...
Anfangsdatum,Enddatum,Antworttyp,IP-Adresse,Aktueller Stand,Dauer (in Sekunden),Beendet,Erfassungsdatum,Antwort-ID,Nachname des Empfängers,Vorname des Empfängers,E-Mail des Empfängers,Externe Datenreferenz,Breitengrad des Standorts,Längengrad des Standorts,Verteilungskanal,Benutzersprache,How strongly do you feel the following emotions now? - Anxious,How strongly do you feel the following emotions now? - Overwhelmed,How strongly do you feel the following emotions now? - Unmotivated,How strongly do you feel the following emotions now? - Relaxed,How strongly do you feel the following emotions now? - Energetic,How strongly do you feel the following emotions now? - Motivated,"Read each item carefully. Using the scale shown below, please select the number that best describes you - I can think of many ways to get out of a jam.","Read each item carefully. Using the scale shown below, please select the number that best describes you - I energetically pursue my goals.","Read each item carefully. Using the scale shown below, please select the number that best describes you - I feel tired most of the time.","Read each item carefully. Using the scale shown below, please select the number that best describes you - There are lots of ways around any problem.","Read each item carefully. Using the scale shown below, please select the number that best describes you - I am easily downed in an argument.","Read each item carefully. Using the scale shown below, please select the number that best describes you - I can think of many ways to get the things in life that are important to me.","Read each item carefully. Using the scale shown below, please select the number that best describes you - I worry about my health.","Read each item carefully. Using the scale shown below, please select the number that best describes you - Even when others get discouraged, I know I can find a way to solve the problem.","Read each item carefully. Using the scale shown below, please select the number that best describes you - My past experiences have prepared me well for my future.","Read each item carefully. Using the scale shown below, please select the number that best describes you - I’ve been pretty successful in life.","Read each item carefully. Using the scale shown below, please select the number that best describes you - I usually find myself worrying about something.","Read each item carefully. Using the scale shown below, please select the number that best describes you - I meet the goals that I set for myself.",Please read each item carefully and rate the scales below. - How similar are you now to what you will be like when you are 60 years old?,Please read each item carefully and rate the scales below. - How similar are your beliefs now to what they will be like when you are 60 years old?,Please read each item carefully and rate the scales below. - How similar is your personality now to what it will be like when you are 60 years old?,Please read each item carefully and rate the scales below. - How similar are your values now to what they will be like when you are 60 years old?,Please read each item carefully and rate the scales below. - Do you like what you will be like when you are 60 years old?,Please read each item carefully and rate the scales below. - Do you like what your personality will probably be like when you are 60 years old?,Please read each item carefully and rate the scales below. - Do you like what your actions will probably be like when you are 60 years old?,Please read each item carefully and rate the scales below. - How vividly can you imagine what you will be like when you are 60 years old?,Please read each item carefully and rate the scales below. - How vividly can you imagine what you will look like when you are 60 years old?,Please read each item carefully and rate the scales below. - How vividly can you imagine what your family relationships will be like when you are 60 years old?,Please read each item carefully and rate the scales below. - Do you like what you will be like when you are 60 years old?,Please read each item carefully and rate the scales below. - Do you like what your personality will probably be like when you are 60 years old?,Please read each item carefully and rate the scales below. - Do you like what your actions will probably be like when you are 60 years old?,User Engagement Scale - I lost myself in this experience.,User Engagement Scale - The time I spent using the system just slipped away.,User Engagement Scale - I was absorbed in this experience.,User Engagement Scale - I felt frustrated while using this system,User Engagement Scale - I found this system confusing to use.,User Engagement Scale - Using this system was taxing.,User Engagement Scale - Using system was worthwhile.,User Engagement Scale - My experience was rewarding.,User Engagement Scale - I felt interested in this experience.,The virtual agent was...,How human-like did you find the virtual agent?,Please read each item carefully and rate the scales below. - I found the virtual agent realistic overall,Please read each item carefully and rate the scales below. - I found the virtual agent’s appearance realistic,Please read each item carefully and rate the scales below. - The system is deceptive.,Please read each item carefully and rate the scales below. - The system behaves in an underhanded manner.,"Please read each item carefully and rate the scales below. - I am suspicious of the system’s intent, action, or output.",Please read each item carefully and rate the scales below. - I am wary of the system.,Please read each item carefully and rate the scales below. - The system’s action will have a harmful or injurious outcome.,Please read each item carefully and rate the scales below. - I am confident in the system.,Please read each item carefully and rate the scales below. - The system provides security.,Please read each item carefully and rate the scales below. - The system has integrity.,Please read each item carefully and rate the scales below. - The system is dependable.,Please read each item carefully and rate the scales below. - The system is reliable.,Please read each item carefully and rate the scales below. - I can trust the system.,Please read each item carefully and rate the scales below. - This system is capable of changing my behavior.,Please read each item carefully and rate the scales below. - This system is capable of changing my attitude.,Please read each item carefully and rate the scales below. - This system is capable of changing my intention.,"Reflecting on the conversation, how did this experience influence or shape your perception of the future?",Please add any comments and open feedback here:,user_id,cond,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}","{""ImportId"":""QID5_11""}","{""ImportId"":""QID5_12""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID9_7""}","{""ImportId"":""QID9_8""}","{""ImportId"":""QID9_9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID17_8""}","{""ImportId"":""QID17_9""}","{""ImportId"":""QID17_10""}","{""ImportId"":""QID17_11""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""user_id""}","{""ImportId"":""cond""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
2025-10-02 05:59:29,2025-10-02 06:00:55,1,,100,86,1,2025-10-02 06:00:56,R_3fwVsV7M0EUJ1e2,,,,,42.3649,-71.0987,preview,EN,1,1,1,1,1,1,4,4,4,5,4,4,3,3,4,4,4,4,2,3,3,3,,,,1,2,1,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,3,3,,,,,
2025-10-02 06:43:18,2025-10-02 06:49:18,0,18.29.15.253,100,360,1,2025-10-02 06:49:19,R_5nA9vsHKjZ4aw0j,,,,,42.3649,-71.0987,anonymous,EN,6,6,6,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,2,2,2,2,2,2,4,4,4,4,4,6,6,6,,,,,
2025-10-02 07:27:47,2025-10-02 07:57:20,0,18.29.115.203,100,1773,1,2025-10-02 07:57:21,R_38X2bx3edt3LnbP,,,,,42.3649,-71.0987,anonymous,EN,5,2,2,5,6,6,8,8,5,8,2,8,5,8,8,8,5,8,4,4,5,5,4,5,4,5,5,4,5,5,5,2,4,4,2,1,1,4,4,5,5,4,6,6,2,2,3,4,3,2,3,1,2,3,1,5,6,5,,,,,
2025-10-02 08:17:25,2025-10-02 08:20:42,0,18.29.115.203,100,196,1,2025-10-02 08:20:42,R_5KxBGBuCGEK0EwR,,,,,42.3649,-71.0987,anonymous,EN,3,3,1,5,7,7,8,8,3,8,1,7,5,8,7,7,5,7,2,6,5,6,5,5,5,5,4,5,5,5,5,1,2,4,2,2,2,3,4,4,5,4,5,5,3,2,4,4,3,2,2,2,2,2,2,5,5,5,,,,,
2025-10-02 10:49:42,2025-10-02 10:54:59,0,18.29.115.203,100,317,1,2025-10-02 10:54:59,R_7jNpmRpDOAWWjAZ,,,,,42.3649,-71.0987,anonymous,EN,5,4,4,3,4,3,7,6,6,6,2,6,6,6,6,4,5,5,4,4,5,5,3,4,3,4,4,4,3,3,3,3,2,2,3,2,4,3,3,4,3,2,2,2,2,2,2,4,1,2,2,3,3,3,2,5,5,5,,,,,
2025-10-02 11:41:32,2025-10-02 11:49:04,0,18.29.87.143,100,451,1,2025-10-02 11:49:04,R_6wBLAcKf6BwisaE,,,,,42.3649,-71.0987,anonymous,EN,1,1,1,6,6,7,8,8,8,8,1,8,3,8,8,8,2,8,5,5,5,5,5,6,5,5,5,5,5,5,5,2,2,2,1,1,1,4,4,4,5,4,5,6,1,1,1,1,1,3,3,3,2,2,3,4,3,3,,,,,
2025-10-02 11:53:14,2025-10-02 12:07:02,0,18.29.87.143,100,828,1,2025-10-02 12:07:03,R_6Yb2NijcMRNVaIa,,,,,42.3649,-71.0987,anonymous,EN,2,2,2,5,5,4,7,6,3,7,2,7,4,7,8,7,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,4,3,4,4,3,4,4,2,3,4,2,2,2,2,2,2,3,4,3,3,2,3,3,3,,,,,
2025-10-02 12:21:59,2025-10-02 12:26:39,0,18.29.115.203,100,279,1,2025-10-02 12:26:39,R_6U4t88JHQmJi5KN,,,,,42.3649,-71.0987,anonymous,EN,3,3,1,6,6,7,8,8,4,8,7,8,6,7,8,7,4,7,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,5,2,2,1,4,4,5,6,4,6,6,2,2,1,2,3,3,2,3,3,3,3,6,6,2,,,,,
